企業名,働き方と裁量,働き方と裁量（タグ）,組織文化,組織文化（タグ）,成長と挑戦,成長と挑戦（タグ）,価値観共鳴,価値観共鳴（タグ）,人間関係,人間関係（タグ）,顧客との接点,顧客との接点（タグ）,業務スタイル,業務スタイル（タグ）,評価と報酬,評価と報酬（タグ）,多様性と自分らしさ,多様性と自分らしさ（タグ）,安定と変化,安定と変化（タグ）,Step1,Step2,Step3,Step4,Step5,Step6,特徴・傾向（面接で重視されること等）,締切・スケジュール（任意）,例年の質問（任意）,MBTI,相性のいいMBTI,Webサイト,業界カテゴリ,企業規模,企業プロフィール,事業内容
エンゲージ,7,"['自由度高め', '役職問わず発言できる', '新規事業・提案OK']",7,"['ボトムアップ', 'フラット', '上司と距離が近い']",8,"['裁量チャレンジあり', '変化を好む', '若手にどんどん任せる']",7,"['カルチャーフィット重視', 'ミッションに共鳴する人が多い', '理念ドリブン']",7,"['助け合いあり', '上司も話しやすい', '協力し合う文化']",6,"['間接的に顧客へ影響', '部署により接点の濃さが異なる']",7,"['分析・提案系', '柔軟に動ける', '論理・創造的な業務']",6,"['バランス評価', '等級制度あり', '過程も成果も見られる']",7,"['自分らしさが尊重される', '服装自由', '副業OK']",5,"['守りと攻めのバランス', '新旧が混在', '変化と安定が両立']",エントリー , 書類選考 , 面接2回 , 内定,,,採用プラットフォームへの関心、プロダクト視点があるかを重視。,3月上旬〜5月頃に集中。,「なぜ採用領域に興味を？」「プロダクトをどう改善したいか」など。穏やかな個人面接。,ENFP,"INFJ, INTJ, ENFP, ENTP",https://en-gage.net/,採用サイト構築,中規模,エンゲージは、エン・ジャパンが運営する無料の採用支援プラットフォームで、中小企業やスタートアップでも手軽に求人掲載・応募管理が可能です。,求人サイト『エンゲージ』の運営、求人作成支援、応募管理・分析機能の提供。
オートバックスセブン,5,"店舗勤務中心, 一部本社で裁量あり",5,"車好きが集まる文化, 安定志向",6,店舗マネジメントなどで成長機会あり,5,カーライフ支援を通じた社会貢献意識,6,現場密着で距離感が近い職場環境,7,来店型ビジネスで顧客接点が日常的,6,販売・整備・接客など多岐に渡る業務,5,"年功的評価が主流, 成果要素は限定的",5,"画一的な制服文化, 多様性は限定的",7,自動車市場の中で安定感ある業態,エントリー , Webテスト , 面接複数回 , 内定,,,車への興味・接客志向・継続的な成長意欲。店舗での役割理解があると有利。,3〜4月に集中。地域別採用あり。,「ドライブで気をつけること」「車の知識の活かし方」など。,ESTP,"ESFP, ENTP, ISTP",https://www.autobacs.co.jp/,小売（自動車用品）,大規模,オートバックスセブンは、自動車用品の専門店『オートバックス』を全国展開しており、車検・整備・保険などカーライフ全般をトータルサポートしています。,自動車用品販売、車検・整備・カーリース、フランチャイズ運営、海外展開。
オプトホールディング,7,裁量が大きく、フレックスタイム導入,7,挑戦を歓迎するベンチャー的文化,8,デジタル広告領域での新技術導入に挑戦,6,マーケティングによる価値提供に共感,6,部署間は比較的フラットで協力的,7,広告主との接点が多く、提案が中心,7,PDCAを重視した改善型業務,6,"成果連動型の評価, 昇給スピードあり",6,自由な服装・働き方に寛容な傾向,6,マーケットの変化に敏感で柔軟性あり,エントリー , 書類選考 , Webテスト , 面接複数回 , 内定,,マーケティング・デジタル広告領域への関心。論理的思考・好奇心・素直さが重視される。,選考は通年実施に近く、インターン経由も多い。,「広告で影響を受けた事例」「今後伸びる業界は？」など。,ENTP,"INFJ, ENFP, ENTJ",https://www.opt.ne.jp/,デジタルマーケティング,中規模,オプトホールディングは、デジタルマーケティング領域で豊富な知見を持つ企業グループで、広告運用からデータ分析、DX支援まで幅広く提供しています。,デジタルマーケティング支援、広告運用、データ分析、DX推進支援コンサルティング。
オムロン,7,"在宅制度あり, 働き方に柔軟性あり",7,"理念重視のカルチャー, オープンな雰囲気",8,ヘルスケア・社会インフラ領域に挑戦,8,“社会に役立つ”を軸とした価値観浸透,7,"穏やかで協力的, 専門職同士のリスペクトあり",6,"BtoB中心, 間接接点が主",7,研究開発・事業開発など幅広い業務あり,7,年功より成果を意識した人事制度へ移行中,7,"性別・国籍問わず活躍, 障害者雇用にも積極的",8,技術革新を通じて持続的に進化中,エントリー , Webテスト（TG-WEB）, 面接複数回 , 内定,,,社会課題解決への意欲、技術とビジネスの両視点、グローバル志向も加点対象。,理系：2月中旬、文系：3月中旬から本選考開始。,「オムロンで解決したい社会課題」「今までに最も工夫したこと」など。,INTJ,"ENTP, INTP, INFJ",https://www.omron.co.jp/,電子機器,大規模,オムロンは、制御機器・ヘルスケア製品・社会システムなど多岐にわたる事業を展開するグローバルメーカーで、センシング＆コントロール技術に強みを持ちます。,産業用制御機器、ヘルスケア製品、社会システム、電子部品の開発・製造・販売。
オリエンタルランド,5,"シフト勤務中心, 裁量は限定的",6,"ホスピタリティ文化, 一体感が強い",5,"マニュアル重視, 挑戦機会は限られる",7,夢と感動の提供への強い共感が求められる,7,キャスト同士のつながりが強く協調性重視,8,来場者と日常的に密接な接点,6,現場運営・裏方業務の分業が明確,5,"評価は年次重視, 成果反映は限定的",6,多様な人材受け入れつつも運営は統一的,7,観光業界における安定感とブランド力,エントリー , 書類選考 , Webテスト , 面接複数回 , 内定,,ホスピタリティ・おもてなし志向・現場理解。サービス精神の高さが鍵。,2月インターン、3月本選考エントリーが多い。,「ゲスト対応で意識すべきこと」「ディズニーの価値とは」など。,ENFJ,"ENTP, INFJ, ENFP",https://www.olc.co.jp/ja/index.html,娯楽（テーマパーク）,大規模,オリエンタルランドは、東京ディズニーリゾートの運営会社として、日本を代表するテーマパークビジネスを展開し、夢と感動を提供しています。,テーマパーク（東京ディズニーランド、東京ディズニーシー）の運営、ホテル・商業施設事業。
オリコ,6,金融業の中では一部フレックス制度あり,5,"安定志向の金融文化, 保守的だが誠実",5,新しい与信技術などへの取り組みは限定的,5,生活支援の金融サービスに共感が必要,5,"縦社会の色が残る, 固定的な関係性が強め",6,"BtoC金融, 顧客対応部署で接点あり",6,審査・営業・管理など明確に分業,5,年功的要素が強く、成果評価は緩やか,5,ダイバーシティ制度はあるが活用度は限定的,6,金融業界としての一定の安定性あり,エントリー , 書類選考 , 適性検査 , 面接複数回 , 内定,,信用・ローン業務への理解、顧客視点と誠実な提案姿勢、チームでの連携力が評価される。,3〜5月に選考が集中、6月内定が多い。,「安心感を与えた経験」「金融リテラシーを活かした提案」など。,ISTJ,"ESTJ, ENTJ, ISTP",https://www.orico.co.jp/,金融（クレジット）,大規模,オリコ（オリエントコーポレーション）は、個人向け・法人向けに多様なクレジットサービスを展開し、キャッシュレス化・金融包摂を推進する総合金融会社です。,ショッピングクレジット、オートローン、個人ローン、カード・決済サービスの提供。
オリックス,8,裁量大きくフレックス勤務可能,7,"多様な事業領域, 実力主義寄り",8,投資・事業創造に挑戦できる環境,6,利益重視だが社会課題への意識もあり,6,事業部間の距離があり、個別性が強い,7,"法人顧客中心, プロジェクト型で接点あり",8,"多様な業務スタイルが並存, 高度専門型も多い",8,"高報酬傾向, 実績で評価される",7,"多様性受容, 外国籍人材・女性管理職も増加",8,"非金融・不動産などへ柔軟に展開, 成長性大",エントリー , Webテスト（玉手箱）, 面接複数回 , 内定,,,挑戦心・柔軟性・事業理解の深さ。多事業展開に対応する力が必要。,3月上旬から説明会→選考開始。,「なぜオリックス？」「異動・変化への適応力」など。,ENTJ,"ESTJ, ENTP, INTJ",https://www.orix.co.jp/,金融・リース,大規模,オリックスは、リース・融資・不動産・環境エネルギーなど多角的に事業を展開する金融サービスグループで、柔軟なファイナンスと事業投資で成長を支援しています。,リース、融資、資産運用、不動産、環境エネルギー、生命保険などの金融・事業投資サービス。
オリックス銀行,6,金融業の中では比較的柔軟な勤務体制,5,"安定志向, 手堅い業務スタイルが中心",5,新しい商品開発への挑戦は限定的,5,堅実な金融支援を通じた貢献意識,5,"落ち着いた職場, やや縦関係が残る",6,住宅ローン等で個人顧客と接点あり,5,"定型業務が中心, 柔軟性は限定的",5,年功的傾向が強く、昇給スピードは緩やか,5,制度上は整備されているが活用度は中程度,6,金融業としての安定感はあるが変化は緩やか,エントリー , 書類選考 , Webテスト , 面接複数回 , 内定,,専門性とチャレンジングな姿勢、金融商品への理解と成長志向が求められる。,3月エントリー、4〜5月に選考、6月内定が多い。,「独自性ある金融提案」「責任感を示した経験」など。,ISTJ,"ESTJ, ENTJ, ISTP",https://www.orixbank.co.jp/,金融（銀行）,中規模,オリックス銀行は、オリックスグループの一員として、ネット専業型の銀行サービスを提供し、高金利の定期預金や不動産投資ローンなどに強みを持っています。,インターネットバンキング、定期預金、不動産投資ローン、カードローンなど。
オリンパス,7,"裁量労働制あり, リモートも可能",6,"改革進行中, 新旧文化の混在",7,医療機器・内視鏡の技術革新に注力,7,“命を救う”医療領域への貢献意識が強い,6,"穏やかな風土, 開発部門中心の連携",6,"医療機関との接点, BtoBが主",7,研究開発＋グローバル展開のハイブリッド,7,"成果反映される制度設計, 中長期で昇進",6,"多様性推進中, 欧米基準の制度導入も",7,グローバル医療市場での地位を維持・拡大中,エントリー , 書類選考 , Webテスト・適性検査 , 面接複数回 , 内定,,医療機器開発や光学技術への情熱、グローバル志向、社会課題への貢献意識が評価される。,3月〜4月選考開始、6月内定。,「医療とテクノロジーの未来」「困難を乗り越えた経験」など。,ISTP,"ESTP, ISTJ, ESTJ",https://www.olympus.co.jp/,医療機器・光学機器,大規模,オリンパスは、医療・科学・映像機器分野において世界的なシェアを誇るメーカーで、特に内視鏡技術においてはトップクラスの実績を持ちます。,内視鏡・治療機器、顕微鏡、産業用検査装置などの開発・製造・販売。
カインズ,6,"現場裁量あり, シフト管理はやや硬直",6,"現場主導型, 実直で親しみやすい文化",6,売場改善や企画提案に挑戦可能,6,“暮らしを豊かに”という価値に共感,6,店舗ごとにチーム性強く、協調的,7,地域顧客との日常的な接点が豊富,6,店舗業務＋本部商品企画の連携あり,6,年功・役割での評価、昇進は段階的,5,多様性には一部対応、現場は均質傾向,7,ホームセンター業界としての安定性あり,エントリー , 書類選考 , 適性検査 , 面接複数回 , 内定,,小売業の企画・開発志向、自ら考え動く姿勢、店舗や商品への興味が重視される。,3月エントリー、4月〜5月に選考、6月内定。,「日用品で改善したい商品」「現場目線の工夫」など。,ESTJ,"ENTP, ISTJ, ENTJ",https://www.cainz.co.jp/,小売（ホームセンター）,大規模,カインズは、全国展開するホームセンターチェーンで、日用品・DIY用品からインテリアまで、暮らしに密着した商品を幅広く取り揃えています。,ホームセンター『カインズ』の運営、生活雑貨・家具・園芸用品などの小売販売。
カインズホーム,5,"シフト制中心, 現場の自由度は限定的",5,"やや古風な現場文化, 上意下達あり",5,商品知識と業務習得による成長機会,5,お客様第一の姿勢が基本方針,5,"現場密着でフラット, 時に体育会系",6,接客機会が多く、地域密着型,5,"業務は標準化, ルーチンワーク中心",5,年功序列が強く、評価の差が出にくい,4,"多様性意識は薄め, 男性比率高め",6,地域展開により安定感はあるが変化は乏しい,エントリー , Webテスト , 面接複数回（現場職含む）, 内定,,,店舗運営力・DIYへの関心・チームワーク志向。現場主義での姿勢が重視される。,2月〜3月にかけて本選考開始。,「DIYの経験」「地域密着の意味」など。,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.cainz.com/,小売（ホームセンター）,大規模,カインズホームは、カインズブランドの中でも特に地域密着型の小型店舗業態を担い、生活用品・DIY資材を中心に、家庭の暮らしを支える商品を展開しています。,小型ホームセンターの運営、日用品・資材・DIY製品の販売。
カオナビ,8,"['役職問わず発言できる', '若手も決定権あり', '新規事業・提案OK']",8,"['失敗OK文化', '上司と距離が近い', 'フラット']",9,"['圧倒的成長', '年次不問で任される', '変化スピード爆速']",8,"['ミッションに共鳴する人が多い', '理念ドリブン', 'カルチャーフィット重視']",8,"['助け合いあり', '上司も話しやすい', '協力し合う文化']",6,"['部署により接点の濃さが異なる', '間接的に顧客へ影響']",8,"['柔軟に動ける', '論理・創造的な業務', '分析・提案系']",7,"['評価が昇給に直結', '早期昇進あり', '成果主義']",8,"['服装自由', '自分らしさが尊重される', '副業OK']",4,"['長期スパンで徐々に変わる', '変化は慎重']",エントリー , 書類選考 , 面談（カジュアル）, 面接2回 , 内定,,SaaS理解と組織課題への関心を重視。面談を通じた相互理解重視。,エントリーは3月〜5月中心。選考は随時。,「組織課題で感じたこと」「なぜカオナビか」など。カジュアル面談 → 個人面接形式。,INFJ,"ENFP, ENTP, INFJ, INTP",https://www.kaonavi.jp/,タレントマネジメントSaaS,中規模,タレントマネジメント市場の先駆け。人材データを可視化し、組織の可能性を最大化。,クラウド人材管理システム「カオナビ」の開発・提供。人材情報の一元管理・分析により人事戦略を支援。
カゴメ,7,"自律型勤務が浸透, フレックスあり",7,"理念・健康志向文化, アットホームな雰囲気",7,機能性食品や新商品開発に積極的,8,“自然・健康・人間”への強い共鳴が求められる,7,"温かい人間関係, 地方拠点でも一体感あり",6,スーパー・外食とのBtoB接点＋消費者接点,6,製造＋企画・マーケまで一貫体制,6,"報酬は平均的, 評価制度は丁寧",6,"女性管理職登用, 柔軟な働き方にも注力",7,健康志向市場でのブランドと持続性あり,エントリー , Webテスト（SPI）, 面接複数回 , 内定,,,共感力・真摯さ・健康志向への共鳴。商品開発やCSR活動への関心もプラス評価。,3月説明会、4月面接中心。,「心に残る食の体験」「KAGOMEの使命についてどう思うか」など。,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.kagome.co.jp/,食品,大規模,カゴメは、野菜を中心とした食品メーカーで、トマト製品・野菜飲料の分野において国内トップクラスのシェアを持ち、健康的な食生活の推進に注力しています。,トマト加工食品（ケチャップ、ソース）、野菜ジュース、機能性食品などの製造・販売。
カシオコンピュータ,6,"技術部門での裁量あり, 一部テレワークも可能",6,技術者気質と現場主義が共存,6,時計・電子辞書・教育ICTなどへの挑戦あり,5,“使いやすさ”や“親しみやすさ”に共感,6,"チームでの製品開発, 専門性共有が多い",6,量販店・教育機関などとの接点中心,6,商品開発と量産体制が連動,6,業績＋年次での安定評価,5,"多様性配慮は進行中, 制度面に差あり",6,製品ポートフォリオの変革に挑戦中,エントリー , Webテスト , 面接複数回（職種別）, 内定,,,創造性・グローバル視点・チーム志向。自社製品への理解が問われる。,理系は2月〜、文系は3月〜選考開始。,「好きなカシオ製品と理由」「ものづくりで大切にしたい価値」など。,ISTP,"ESTP, ISTJ, ESTJ",https://www.casio.co.jp/,電子機器,大規模,カシオコンピュータは、時計・電卓・電子楽器などの開発で知られる精密機器メーカーで、独自のデジタル技術を用いた革新的な製品開発に強みを持っています。,電子機器（腕時計・電子辞書・電卓・電子楽器など）の企画・製造・販売。
カシオ計算機,5,"工場勤務では固定時間, 本社は一部フレックスあり",5,"年功的でやや硬直, 技術重視の保守文化",5,"既存製品強化が中心, 挑戦機会は限定的",4,"製品の実用性重視,価値観共鳴の明示は少なめ",5,"技術職同士での結束, 対外発信は少ない",5,"量販店など法人経由が主, 一般顧客とは間接接点",5,企画→開発→量産の定型型ワークフロー,5,"年功序列が基本, 成果評価は補助的",4,"多様性制度は導入中, 実態としては乏しい",5,"安定企業だが成長鈍化, 新規展開は控えめ",エントリー , 書類選考 , Webテスト・適性検査 , 面接複数回 , 内定,,製品開発へのこだわり、グローバル志向、革新性と継続性のバランスが求められる。,3〜4月選考、5〜6月内定が多い。,「使いやすい製品とは」「チームで製品を作った経験」など。,ISTP,"ESTP, ISTJ, ESTJ",https://www.casio.com/jp/,電子機器,大規模,カシオ計算機は、時計や電卓、電子辞書などで世界的に知られる総合エレクトロニクスメーカーで、高い技術力とデザイン性に優れた製品を展開しています。,時計、電卓、電子辞書、電子楽器、業務用端末などの開発・製造・販売。
ガスト,4,"現場はシフト制で固定, 自由度は極めて低い",4,"マニュアル重視, トップダウン気質強め",4,"オペレーション習得が中心, 挑戦の余地は小さい",5,“おいしい・安い”を届ける実直な理念,5,"チーム制で協力は強い, 体育会系的要素あり",8,接客が主業務で、顧客との接点は非常に多い,4,"調理・接客の繰り返し, 業務の多様性は乏しい",4,"役職・年次で昇給, 成果は重視されにくい",4,個性発揮より均質性が求められる,6,"外食市場の中では安定的, ただし変化は少ない",エントリー , 書類選考 , 面接1〜2回 , 内定,,,接客姿勢、リーダーシップ、柔軟な働き方への理解が評価される。飲食店での経験も有利。,3月〜5月に選考が多く、6月内定が主流。,「現場対応で困った経験」「リーダー経験」など。,ESFJ,"ENTP, ENFP, ESFP",https://www.skylark.co.jp/gusto/,飲食（ファミリーレストラン）,大規模,ガストは、すかいらーくグループが展開するファミリーレストランブランドで、幅広いメニューと手頃な価格、地域密着型の店舗展開が特徴です。,ファミリーレストラン『ガスト』の企画・運営、飲食事業の展開。
カプコン,7,開発部門では裁量大きく、リモート導入あり,6,"職人肌と企業規模の両立, 歴史と挑戦が共存",8,新作ゲームの開発やグローバル展開に積極的,6,“面白さを追求する”という哲学が共有される,6,チーム制の中で自由と連携が共存,6,"ユーザーとの接点は間接的, リサーチベース",7,開発主導でプロジェクトベースが基本,6,実力評価傾向だが一部年功の色も残る,6,"自分らしさは尊重される傾向, 表現も自由",7,"人気タイトルで盤石な地位, 変化にも強い",エントリー , 書類選考 , Webテスト , 面接複数回（職種により実技）, 内定,,エンタメ・ゲーム愛、論理性、職種に応じたスキル（プログラミング・イラスト等）,職種別に通年でインターン・選考あり。,「影響を受けたゲーム」「ゲームで表現したいこと」など。ポートフォリオ提出あり。,ENFP,"INFJ, ENTP, ENTJ",https://www.capcom.co.jp/,ゲーム,大規模,カプコンは、『モンスターハンター』『バイオハザード』などの人気ゲームを開発する大手ゲーム会社で、国内外に多くのファンを持つグローバルなIPを展開しています。,家庭用ゲームソフト・アーケードゲームの企画・開発・販売、eスポーツ展開。
カプリチョーザ,3,"シフト制で自由度なし, 拘束時間長め",4,"店舗ごとに文化差, 本部の統一感は希薄",4,調理習得中心で、成長は現場主導,5,本格イタリアン提供に誇りを持つ,5,"仲間意識は強め, 体育会系色あり",8,来店客との接点は多く、サービス密度高い,4,"業務マニュアル化, 応用の自由度は少ない",4,"年功的, 成果連動は曖昧",3,制服・マニュアルにより個性発揮は困難,5,"飲食業界での安定志向, 成長余地は限定的",エントリー , 書類選考 , 面接2回程度 , 内定,,,外食・ホスピタリティ業界への関心、笑顔・会話力、現場運営における責任感が評価される。,3月〜5月に集中、6月内定。,「店舗運営で意識すべきこと」「接客で大切にしていること」など。,ESFP,"ENTP, ENFP, ESFJ",https://www.capricciosa.com/,飲食,中規模,気取らない本格イタリアンを提供するカジュアルレストランチェーン。手作り感と温かみが魅力。,イタリアンレストラン「カプリチョーザ」の直営・フランチャイズ展開、メニュー開発・店舗運営。
カヤック,8,"働き方自由, リモート・フレックスタイムあり",9,"ユニークな文化, 風変わりな価値観も尊重",9,新しい領域（XR・メタバース等）に積極挑戦,8,“面白法人”として価値観共鳴が強い,7,フラットで風通しが良く、遊び心がある,6,顧客との共創型プロジェクトが多い,8,"クリエイティブ特化, 企画と制作が密接",6,"実力主義ベース, 柔軟な評価制度",9,"多様性重視, 働き方もスタイルも自由",7,"柔軟な会社運営, 新事業展開も活発",エントリー , 書類選考 , 面談形式の面接複数回 , 内定,,,ユニークさ・創造性・文化とのフィット感。思考実験のような選考もあり。,選考は比較的フレキシブル。ポートフォリオ提出あり。,「あなたの面白い経験は？」「変なことに熱中した体験」など。,ENFP,"INFJ, ENTP, ENTJ",https://www.kayac.com/,IT・クリエイティブ,中規模,カヤックは、“面白法人”を掲げ、ゲーム・広告・地域振興など多様な事業を展開する企業で、独自のクリエイティブとユニークな企業文化が注目されています。,スマホゲーム開発、Web制作、まちづくり・地域事業、広告・プロモーション企画。
カラオケの鉄人,4,"シフト制で勤務時間固定, 裁量は限定的",5,若年層中心で活気あるが制度化は未成熟,4,店舗運営中心で創造的業務は限定的,5,エンタメ提供への共感が求められる,5,"チーム連携重視, 上下関係は店舗による",8,"接客が主業務, 顧客との接点は密",4,業務は標準化されており、柔軟性は乏しい,4,成果よりも勤務年数や勤怠が重視される傾向,4,服装や言動に制約あり、個性の発揮は限定的,5,"カラオケ業界内では安定的, 変化には慎重",エントリー , 書類選考 , 面接2〜3回 , 内定,,,店舗運営への意欲・接客姿勢・チームワーク。エンタメ好きで明るい印象が強みになる。,3〜4月中心。説明会は各店舗開催あり。,「接客の中で意識していること」「理想の店舗とは？」など。,ENFP,"INFJ, ENTP, ENTJ",https://www.karatetsu.com/,エンタメ・小売,中規模,カラオケの鉄人は、都内を中心に展開するカラオケチェーンで、最新機種導入やアニメ・ゲームなどとのコラボ企画に強みを持つエンタメ企業です。,カラオケ店舗の運営、キャラクターコラボ、飲食提供、エンタメイベント企画。
カルソニックカンセイ,5,"製造現場は固定勤務, 開発部門は一部裁量あり",5,日産系の影響強く、保守的な側面あり,6,自動車部品での技術革新に取り組む機会あり,5,ものづくりの品質への誇りが基盤にある,5,"現場中心で縦社会傾向, チーム制もあり",6,自動車メーカーとの取引で間接接点が中心,6,"開発・製造・品質が分業, プロセス明確",6,成果＋年次評価のバランス型,5,多様性推進中だが男性中心の職場が多い,7,日系メーカーの中では安定性が高い,エントリー , 書類選考 , Webテスト , 面接複数回 , 内定,,自動車部品の開発志向、現場でのものづくり力、技術課題への探究心が求められる。,3月〜5月に選考、6月内定が多い。,「好きな技術領域」「チーム開発での貢献」など。,ISTJ,"ESTJ, ENTJ, ISTP",https://www.marelli.com/,製造・自動車,大規模,カルソニックカンセイは、自動車部品の開発・製造を行うグローバルサプライヤーで、空調・排気・電装系部品に強みを持ち、日産グループとの関係が深い企業です。,自動車用空調システム、内装部品、電子機器、排気システムの設計・製造・販売。
かんぽ生命保険,5,勤務は安定的だが柔軟性はやや限定的,5,公的性質が残り、安定・保守的な文化,4,新規分野への挑戦はやや消極的,6,社会保障の補完としての使命感が求められる,5,縦関係が色濃く、組織としての一体感重視,6,高齢者・個人顧客との接点が多い,5,営業・事務の役割分担が明確,5,安定性重視の年功的評価が中心,4,制度はあるが文化的には硬直気味,7,金融系の中での安定基盤は強い,エントリー , Webテスト（SPI）, 面接複数回 , 内定,,,誠実さ・金融リテラシー・顧客志向。公共性の高いサービス提供に関心が必要。,3月エントリー開始。内々定は早期化傾向。,「信頼関係を築いた経験」「保険の意義について」など。,ISFJ,"ESFJ, ISTJ, ESTJ",[https://www.jp-life.japanpost.jp/](https,金融・保険,大規模,かんぽ生命保険は、日本郵政グループの一員として、日本全国の郵便局ネットワークを通じた生命保険サービスを提供しています。,個人・団体向け生命保険商品の企画・販売・保全業務。
キーエンス,9,"自由度高いが成果主義, 超高効率の働き方",8,"圧倒的成果主義, ストイックな社風",9,若手から高度営業・提案に挑戦可能,6,"利益貢献を重視, 社会貢献志向は限定的",5,"ビジネスライクな関係性, 連帯感は限定的",9,"顧客との折衝が主業務, 対話頻度高い",8,"提案型営業＋分析, 超スピード業務",10,"年収は国内最高水準, 完全成果連動",5,個性より成果が重視され、自由度は限定的,8,時代に合わせた変化と高成長を維持,エントリー , 書類選考 , Webテスト（SPI）, 面接複数回 , 内定,,ロジカルシンキング・高い成果志向・スピード対応。数字に強く、営業への適性が重視される。,2月〜3月に集中。早期内定化が進む。,「論理的に話す練習」「商談での立ち回り」など。面接はテンポが速い。,ENTJ,"ESTJ, ENTP, INTJ",https://www.keyence.co.jp/,製造・電子機器,大規模,キーエンスは、ファクトリーオートメーション（FA）を支えるセンサや測定器の開発に特化し、高収益・高成長を誇る技術商社として世界中の工場の生産性向上に貢献しています。,FAセンサ、測定器、画像処理装置、制御機器などの企画・開発・販売（製造は外注）。
キッコーマン,6,"生産現場は固定制, 本社系は一部フレックスあり",6,"日本的で穏やか, 地道に改善する文化",6,海外展開や新商品開発で挑戦領域あり,7,“食と健康”への使命感に共感が求められる,6,部署間のつながりもあり協調的,6,スーパー・外食などとのBtoB接点が主,6,"製造・物流・マーケが連動, 緻密な業務",6,安定重視だが成果評価も一部導入中,6,"女性登用進行中, 海外含む多様性あり",7,国内外の食品市場で確固たる安定性あり,エントリー , 書類選考 , Webテスト , 面接複数回 , 内定,,食文化への理解・国際性・穏やかで芯のある人柄。伝統と革新を語れることがカギ。,3月選考開始。海外志向者に加点あり。,「好きな食体験」「企業理念をどう捉えるか」など。,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.kikkoman.co.jp/,食品,大規模,キッコーマンは、しょうゆをはじめとする調味料や食品のグローバルブランドで、世界100カ国以上に展開する老舗食品メーカーです。,しょうゆ・つゆ・調味料などの食品製造・販売、飲料事業、海外食品事業の展開。
ギャガ,6,"クリエイティブ職には柔軟性あり, 裁量も一定あり",7,エンタメ志向で自由度高く、少数精鋭,7,洋画買付・配給に関する交渉力が求められる,7,映画・文化に対する強い共感が必要,6,現場は協力的、チームで作品を支える空気,6,制作会社・劇場・代理店などと多面的接点,6,配給・宣伝・営業の役割分担が明確,5,"報酬は業界水準, 成果反映は限定的",6,服装・発想ともに自由度高く、個性も許容,5,"業績は作品に依存, 安定性はやや不安定",エントリー , 書類選考 , 面接複数回 , 内定,,,映画・エンタメ業界への熱意、企画提案力、トレンド感度が評価される。,3月〜5月に選考、6月内定が多い。,「感動した映画と理由」「プロモーションで工夫できる点」など。,ENFP,"INFJ, ENTP, ENTJ",https://www.gaga.co.jp/,エンタメ・映画配給,中規模,ギャガは、洋画・邦画の配給や映像コンテンツ制作・販売を手がける映画配給会社で、良質なインディペンデント映画や話題作を国内に届ける役割を担っています。,映画の配給・製作、DVD・ブルーレイ販売、映画の権利管理、映像配信。
キャスター,9,"フルリモート徹底, 場所時間の自由が圧倒的",9,"リモートワーク推進カルチャー, 新しい働き方志向",8,リモート特化型人材派遣という新領域に挑戦中,7,“働き方を変える”という理念に共鳴が求められる,8,"オンラインでの協働が前提, 信頼と自律が鍵",7,クライアントとの接点はオンラインが中心,8,タレントマネジメント・業務設計などが主業務,6,"成果とプロセスのバランス重視, 報酬は安定水準",9,"個人のライフスタイルを尊重, 多様性非常に高い",7,"柔軟な組織設計, 変化への順応性高い",エントリー , 書類選考 , カジュアル面談 , 面接複数回 , 内定,,リモート業務への適応力、自走力、成果重視の働き方に共感できるかがポイント。,通年採用に近い形式だが、3〜5月に選考が集中しやすい。,「リモートワークの課題と対処」「責任ある働き方とは」など。,INFJ,"ENFP, INTJ, ENTP",https://caster.co.jp/,人材・リモートワーク支援,中規模,キャスターは、オンラインアシスタントサービス「CasterBiz」などを展開するリモートワーク特化型企業で、場所に縛られない働き方の推進に注力しています。,オンラインアシスタント、バックオフィス業務代行、採用・広報支援、リモートチーム構築支援。
キヤノンマーケティングジャパン,6,"営業職での裁量あり, 働き方改革進行中",6,伝統的だが改革志向も強まりつつある,6,販売・マーケ分野での変革推進中,5,"“お客様第一”の方針が基本, 内発的共感は弱め",6,"現場は協力的, 落ち着いた空気感",6,法人顧客との継続的な接点が多い,6,"営業・販促・サポートが連動, プロセス重視",6,"年功と成果のバランス, 明確さは限定的",5,制度はあるが現場文化が画一的,7,グループ基盤での安定性は高い,エントリー , 書類選考 , Webテスト , 面接複数回 , 内定,,製品提案の力、顧客目線、論理的な説明力と柔軟性が求められる。,3月選考開始、4月〜5月面接、6月内定が多い。,「製品の価値を伝える力」「対話の中での工夫」など。,ISTJ,"ESTJ, ENTJ, ISTP",https://canon.jp/,IT・ハードウェア,大規模,キヤノンマーケティングジャパンは、キヤノングループの国内販売・マーケティング部門として、カメラやプリンター、医療機器など幅広い製品の販売とサポートを行っています。,キヤノン製品（カメラ、プリンタ、複合機、医療機器など）の販売・保守・マーケティング。
